id,name,category,price
1,Handmade recycled wool double-breasted coat,"Men/Clothing/Coats",4899000
2,Long recycled wool coat,"Men/Clothing/Coats",5499000
3,Long recycled wool coat,"Men/Clothing/Coats",5499000
4,Long recycled wool coat,"Men/Clothing/Coats",5499000
5,Reversible recycled wool trench coat,"Men/Clothing/Coats",4999000
6,Classic water-repellent trench coat,"Men/Clothing/Coats",4999000
7,Detachable hood wool coat,"Men/Clothing/Coats",5999000
8,Reversible water-repellent quilted parka,"Men/Clothing/Coats",5999000
9,Recycled woollen coat,"Men/Clothing/Coats",5499000
10,Wool funnel neck coat,"Men/Clothing/Coats",5499000
11,Lightweight recycled wool coat,"Men/Clothing/Coats",4499000
12,Recycled woollen coat,"Men/Clothing/Coats",5499000
13,Water-repellent quilted anorak,"Men/Clothing/Coats",3499000
14,Wool funnel neck coat,"Men/Clothing/Coats",5499000
15,Lightweight recycled wool coat,"Men/Clothing/Coats",4499000
16,Water-repellent quilted parka,"Men/Clothing/Coats",4999000
17,Water-repellent quilted trench coat,"Men/Clothing/Coats",4999000
18,Quilted skin style jacket,"Men/Clothing/Coats",3999000
19,Checked recycled wool coat,"Men/Clothing/Coats",5999000
