id,name,category,price
39,Cotton tapered crop pants,"Men/Clothing/Trousers",999000
40,Recycled fabric slim-fit trousers,"Men/Clothing/Trousers",1399000
41,Regular-fit denim bermuda shorts,"Men/Clothing/Trousers",899000
42,Recycled fabric slim-fit trousers,"Men/Clothing/Trousers",1399000
43,Super slim-fit Tailored check trousers,"Men/Clothing/Trousers",1399000
44,Chambray Bermuda shorts,"Men/Clothing/Trousers",899000
45,100% linen regular-fit trousers,"Men/Clothing/Trousers",1799000
46,Slim-fit seersucker stretch trousers,"Men/Clothing/Trousers",1399000
47,Slim-fit cotton trousers,"Men/Clothing/Trousers",1199000
48,100% linen bermuda shorts with drawstring,"Men/Clothing/Trousers",1199000
49,Slim-fit trousers with drawstring,"Men/Clothing/Trousers",1199000
50,Slim-fit trousers with drawstring,"Men/Clothing/Trousers",1199000
51,Slim-fit cotton trousers,"Men/Clothing/Trousers",1199000
52,100% linen bermuda shorts with drawstring,"Men/Clothing/Trousers",1199000
53,Water-repellent technical bermuda shorts,"Men/Clothing/Trousers",1199000
54,Slim-fit denim bermuda shorts,"Men/Clothing/Trousers",899000
55,Slim-fit denim bermuda shorts,"Men/Clothing/Trousers",899000
56,Technical fabric bermuda shorts with drawstring,"Men/Clothing/Trousers",1199000
57,Slim-fit denim bermuda shorts,"Men/Clothing/Trousers",899000
